        Phase Fraction  Guess for r  Count
0    0.000000      0/1            1      2
1    0.000488      0/1            1      1
2    0.001953      0/1            1      1
3    0.002930    1/255          255      1
4    0.003418    1/255          255      1
5    0.003906    1/255          255      1
6    0.004883    1/205          205      2
7    0.005371    1/186          186      1
8    0.005859    1/171          171      1
9    0.006348    1/158          158      1
10   0.007324    1/137          137      1
11   0.008301    2/241          241      1
12   0.008789    1/114          114      3
13   0.009766    2/205          205      3
14   0.010254    2/195          195      4
15   0.010742     1/93           93      1
16   0.011230     1/89           89      3
17   0.013184     1/76           76      1
18   0.015137     1/66           66      1
19   0.015625     1/64           64      1
20   0.016602    4/241          241      1
21   0.017090    2/117          117      1
22   0.017578     1/57           57      2
23   0.018066    3/166          166      1
24   0.018555     1/54           54      2
25   0.020020     1/50           50      1
26   0.020508    4/195          195      1
27   0.021973     2/91           91      1
28   0.022949    5/218          218      1
29   0.024414     1/41           41      1
30   0.027344    5/183          183      1
31   0.027832     1/36           36      1
32   0.028320    3/106          106      1
33   0.028809    7/243          243      1
34   0.030273     1/33           33      1
35   0.030762     2/65           65      2
36   0.031738     2/63           63      1
37   0.032227     1/31           31      2
38   0.034668    6/173          173      1
39   0.035645     1/28           28      1
40   0.036621    7/191          191      1
41   0.037598    5/133          133      1
42   0.038086    4/105          105      1
43   0.039062    5/128          128      2
44   0.042480    9/212          212      1
45   0.043457     1/23           23      1
46   0.046875     3/64           64      1
47   0.050293    9/179          179      1
48   0.051270     2/39           39      1
49   0.052246    7/134          134      2
50   0.053223     5/94           94      1
51   0.053711   13/242          242      1
52   0.055176    8/145          145      1
53   0.056152     5/89           89      1
54   0.059082   13/220          220      1
55   0.060059   14/233          233      1
56   0.061523     4/65           65      1
57   0.062988    8/127          127      2
58   0.063965   11/172          172      2
59   0.064453     2/31           31      1
60   0.064941     5/77           77      1
61   0.065430    7/107          107      2
62   0.072266     6/83           83      1
63   0.072754     4/55           55      1
64   0.074219   17/229          229      1
65   0.074707   13/174          174      1
66   0.076172    8/105          105      1
67   0.077148   19/246          246      1
68   0.079102   14/177          177      1
69   0.080566   17/211          211      1
70   0.081543   19/233          233      1
71   0.082031   16/195          195      1
72   0.085938   11/128          128      1
73   0.086426     7/81           81      1
74   0.088867     4/45           45      1
75   0.089355   21/235          235      1
76   0.089844   15/167          167      1
77   0.090820     1/11           11      2
78   0.091309   21/230          230      1
79   0.091797   19/207          207      2
80   0.093750     3/32           32      1
81   0.095703   20/209          209      1
82   0.097656   21/215          215      3
83   0.101074   19/188          188      2
84   0.102539     4/39           39      1
85   0.103516     3/29           29      1
86   0.104004   13/125          125      1
87   0.105957   16/151          151      2
88   0.106445   23/216          216      1
89   0.106934   17/159          159      1
90   0.108398   22/203          203      1
91   0.109375     7/64           64      1
92   0.110352   16/145          145      1
93   0.115723   25/216          216      1
94   0.116211   28/241          241      1
95   0.117676     2/17           17      1
96   0.118652     7/59           59      1
97   0.119141   28/235          235      2
98   0.119629   25/209          209      1
99   0.120117   28/233          233      1
100  0.120605   24/199          199      3
101  0.121094   27/223          223      2
102  0.121582   31/255          255      1
103  0.123535   21/170          170      2
104  0.125977   16/127          127      1
105  0.126465   32/253          253      1
106  0.127441   13/102          102      2
107  0.128418   14/109          109      2
108  0.128906   29/225          225      1
109  0.129883    10/77           77      2
110  0.130371     3/23           23      1
111  0.131348   31/236          236      2
112  0.131836   29/220          220      1
113  0.132324     9/68           68      1
114  0.132812   17/128          128      1
115  0.133789   19/142          142      1
116  0.134277   29/216          216      2
117  0.134766   19/141          141      1
118  0.135742   30/221          221      1
119  0.136230   32/235          235      1
120  0.136719   19/139          139      1
121  0.137695   19/138          138      1
122  0.138672   19/137          137      2
123  0.139160   27/194          194      1
124  0.140137   22/157          157      1
125  0.141113   23/163          163      3
126  0.141602   16/113          113      1
127  0.143066      1/7            7      1
128  0.143555   29/202          202      1
129  0.144043   35/243          243      2
130  0.145508   31/213          213      1
131  0.145996   20/137          137      1
132  0.146484   23/157          157      2
133  0.147461   32/217          217      1
134  0.147949   29/196          196      1
135  0.148438   19/128          128      1
136  0.148926     7/47           47      1
137  0.149902     3/20           20      1
138  0.151855   29/191          191      2
139  0.152344   23/151          151      1
140  0.154297   27/175          175      1
141  0.154785    13/84           84      1
142  0.155273   25/161          161      1
143  0.155762   31/199          199      1
144  0.159180   39/245          245      1
145  0.160156   37/231          231      1
146  0.160645   40/249          249      2
147  0.161621    16/99           99      1
148  0.163086   38/233          233      1
149  0.166016   42/253          253      1
150  0.166504      1/6            6      1
151  0.167969   22/131          131      1
152  0.168457   31/184          184      1
153  0.173340    13/75           75      3
154  0.175781   29/165          165      1
155  0.176270   43/244          244      1
156  0.179199   31/173          173      1
157  0.180176   20/111          111      1
158  0.180664   43/238          238      1
159  0.181152   25/138          138      1
160  0.181641     2/11           11      1
161  0.185547    18/97           97      1
162  0.187988   47/250          250      1
163  0.190918   21/110          110      2
164  0.191406   40/209          209      1
165  0.193359   35/181          181      1
166  0.195312   25/128          128      2
167  0.195801   28/143          143      1
168  0.196777   49/249          249      1
169  0.198242   45/227          227      1
170  0.201660   49/243          243      1
171  0.203613   45/221          221      1
172  0.204102    10/49           49      3
173  0.204590     9/44           44      1
174  0.206543    19/92           92      1
175  0.207031   47/227          227      2
176  0.215332   45/209          209      1
177  0.215820   30/139          139      2
178  0.216797   31/143          143      2
179  0.217285   53/244          244      1
180  0.217773   49/225          225      2
181  0.218262   55/252          252      1
182  0.223633   53/237          237      1
183  0.225098   52/231          231      1
184  0.225586   30/133          133      1
185  0.226562   29/128          128      2
186  0.228516     8/35           35      2
187  0.229004   30/131          131      1
188  0.231445   53/229          229      1
189  0.231934   45/194          194      1
190  0.232910   58/249          249      1
191  0.233398     7/30           30      2
192  0.233887   29/124          124      2
193  0.235840   25/106          106      2
194  0.237793   39/164          164      1
195  0.238281   56/235          235      2
196  0.239746   41/171          171      2
197  0.240234   43/179          179      1
198  0.240723    13/54           54      2
199  0.244141   52/213          213      1
200  0.244629   57/233          233      2
201  0.245117   25/102          102      1
202  0.246582    18/73           73      2
203  0.247070    21/85           85      2
204  0.247559   51/206          206      1
205  0.248047   32/129          129      1
206  0.249023   63/253          253      1
207  0.250488      1/4            4      1
208  0.250977   64/255          255      1
209  0.251953   32/127          127      1
210  0.252441   26/103          103      1
211  0.252930   43/170          170      1
212  0.254395   29/114          114      1
213  0.254883    13/51           51      1
214  0.255371   59/231          231      1
215  0.255859    11/43           43      1
216  0.256836   47/183          183      1
217  0.257324   44/171          171      2
218  0.257812   33/128          128      2
219  0.258301   39/151          151      2
220  0.259277     7/27           27      1
221  0.263184     5/19           19      1
222  0.264648     9/34           34      1
223  0.265137   35/132          132      1
224  0.265625    17/64           64      1
225  0.266113   33/124          124      1
226  0.268555   47/175          175      1
227  0.269531   38/141          141      2
228  0.270020   27/100          100      1
229  0.270996   42/155          155      1
230  0.271973   65/239          239      1
231  0.272949   68/249          249      2
232  0.273926   63/230          230      1
233  0.274414   59/215          215      1
234  0.275879     8/29           29      1
235  0.280762   57/203          203      1
236  0.281250     9/32           32      1
237  0.283203   32/113          113      2
238  0.285156   71/249          249      1
239  0.287109   29/101          101      1
240  0.289551   64/221          221      1
241  0.291504   72/247          247      2
242  0.293945   72/245          245      1
243  0.294434   53/180          180      1
244  0.295410    13/44           44      1
245  0.296875    19/64           64      1
246  0.297852    14/47           47      2
247  0.300293   76/253          253      1
248  0.300781   40/133          133      1
249  0.302246   68/225          225      1
250  0.303223   47/155          155      1
251  0.304688   39/128          128      1
252  0.306152    15/49           49      1
253  0.306641    23/75           75      1
254  0.307617     4/13           13      1
255  0.308594   54/175          175      1
256  0.311523   62/199          199      1
257  0.317383   73/230          230      1
258  0.318848    22/69           69      2
259  0.319824   71/222          222      1
260  0.321289   80/249          249      2
261  0.322266   68/211          211      1
262  0.327637   77/235          235      2
263  0.329102    26/79           79      1
264  0.330078   34/103          103      1
265  0.331543   62/187          187      1
266  0.332031   84/253          253      2
267  0.333496      1/3            3      2
268  0.334473   85/254          254      1
269  0.336914   63/187          187      1
270  0.337402   83/246          246      1
271  0.337891   74/219          219      1
272  0.338867   61/180          180      1
273  0.339355   75/221          221      1
274  0.341309   57/167          167      1
275  0.346680    26/75           75      1
276  0.347168   67/193          193      1
277  0.348633   38/109          109      1
278  0.349121   59/169          169      1
279  0.350098     7/20           20      1
280  0.351074    33/94           94      1
281  0.351562   45/128          128      3
282  0.352051   69/196          196      2
283  0.353516    35/99           99      1
284  0.354004   40/113          113      2
285  0.354980   82/231          231      2
286  0.355469   75/211          211      3
287  0.356445   36/101          101      1
288  0.359863   86/239          239      2
289  0.360840    35/97           97      1
290  0.361816   72/199          199      2
291  0.362305    25/69           69      1
292  0.362793   78/215          215      1
293  0.364258   55/151          151      1
294  0.364746   89/244          244      1
295  0.366211    26/71           71      1
296  0.367188   47/128          128      1
297  0.367676    25/68           68      1
298  0.368164   74/201          201      1
299  0.369629   78/211          211      1
300  0.370117   57/154          154      1
301  0.371582   68/183          183      1
302  0.372070    16/43           43      1
303  0.375488   95/253          253      1
304  0.377441   77/204          204      1
305  0.378418    14/37           37      2
306  0.378906   61/161          161      3
307  0.382324    13/34           34      1
308  0.382812   49/128          128      1
309  0.384766     5/13           13      2
310  0.387695   88/227          227      2
311  0.390625    25/64           64      1
312  0.392090   89/227          227      2
313  0.393066   68/173          173      2
314  0.393555   61/155          155      1
315  0.394531   58/147          147      1
316  0.396973   79/199          199      2
317  0.397461    31/78           78      1
318  0.397949    39/98           98      1
319  0.400391      2/5            5      2
320  0.400879   91/227          227      2
321  0.403320   73/181          181      2
322  0.404297    19/47           47      1
323  0.405273   77/190          190      1
324  0.410156   89/217          217      1
325  0.410645   85/207          207      1
326  0.417480   43/103          103      1
327  0.418457   59/141          141      1
328  0.418945    31/74           74      1
329  0.419922   97/231          231      1
330  0.420410  103/245          245      1
331  0.420898  101/240          240      1
332  0.421387   67/159          159      3
333  0.421875    27/64           64      1
334  0.422363   68/161          161      1
335  0.423828   64/151          151      1
336  0.424316  101/238          238      1
337  0.427246   91/213          213      1
338  0.430664   59/137          137      1
339  0.432617   61/141          141      1
340  0.433105   68/157          157      1
341  0.435059   67/154          154      1
342  0.436523   55/126          126      1
343  0.437012  111/254          254      1
344  0.440918   97/220          220      1
345  0.442871    31/70           70      3
346  0.443848   83/187          187      1
347  0.445312   57/128          128      1
348  0.447754    30/67           67      1
349  0.448730    35/78           78      1
350  0.453613    44/97           97      1
351  0.454590     5/11           11      1
352  0.456543    21/46           46      1
353  0.457520   70/153          153      2
354  0.458496  116/253          253      3
355  0.459961    23/50           50      1
356  0.462402   80/173          173      1
357  0.463867   77/166          166      1
358  0.464844   86/185          185      2
359  0.465820  109/234          234      1
360  0.467285   50/107          107      1
361  0.472656   95/201          201      1
362  0.473145   97/205          205      2
363  0.474121   55/116          116      1
364  0.476074  119/250          250      1
365  0.476562   61/128          128      1
366  0.478516   78/163          163      2
367  0.480469   86/179          179      1
368  0.481445    13/27           27      1
369  0.481934    40/83           83      1
370  0.483398  102/211          211      1
371  0.483887    15/31           31      2
372  0.484375    31/64           64      1
373  0.486328   89/183          183      2
374  0.486816    37/76           76      1
375  0.487793    20/41           41      1
376  0.488281  104/213          213      1
377  0.488770   87/178          178      1
378  0.489258   91/186          186      1
379  0.489746  119/243          243      1
380  0.490234    25/51           51      1
381  0.490723   53/108          108      1
382  0.491211    28/57           57      1
383  0.492676  101/205          205      1
384  0.493164    36/73           73      3
385  0.494141    42/85           85      2
386  0.494629    46/93           93      2
387  0.495117  101/204          204      2
388  0.495605  113/228          228      3
389  0.496582   73/147          147      1
390  0.497070   85/171          171      3
391  0.497559  102/205          205      1
392  0.498047  127/255          255      2
393  0.498535  127/255          255      2
394  0.499512      1/2            2      1
395  0.501953  128/255          255      3
396  0.502930   86/171          171      1
397  0.504395  115/228          228      1
398  0.504883  103/204          204      1
399  0.505371    47/93           93      1
400  0.505859    43/85           85      1
401  0.506836    37/73           73      1
402  0.507324  104/205          205      1
403  0.510254  124/243          243      1
404  0.510742   95/186          186      1
405  0.513184    39/76           76      1
406  0.513672   94/183          183      1
407  0.514648  123/239          239      1
408  0.515137    17/33           33      2
409  0.516113    16/31           31      3
410  0.517578  103/199          199      2
411  0.518555    14/27           27      1
412  0.519531   93/179          179      2
413  0.520020    13/25           25      1
414  0.520508  127/244          244      1
415  0.521973   95/182          182      2
416  0.522949   57/109          109      1
417  0.524414    43/82           82      1
418  0.524902  116/221          221      1
419  0.525391    31/59           59      2
420  0.525879   61/116          116      1
421  0.526855  108/205          205      1
422  0.533691  103/193          193      1
423  0.534180  125/234          234      1
424  0.535156   99/185          185      1
425  0.536133   89/166          166      1
426  0.539551  116/215          215      1
427  0.540039    27/50           50      1
428  0.541504  137/253          253      2
429  0.541992   71/131          131      1
430  0.542480   83/153          153      1
431  0.543945   99/182          182      1
432  0.544922   91/167          167      1
433  0.545410     6/11           11      2
434  0.547852  103/188          188      1
435  0.550293   93/169          169      1
436  0.551758    16/29           29      1
437  0.552246    37/67           67      1
438  0.558594   81/145          145      2
439  0.559570  108/193          193      1
440  0.561523   73/130          130      1
441  0.564453  127/225          225      2
442  0.565918  103/182          182      1
443  0.567383   80/141          141      1
444  0.569824  102/179          179      1
445  0.570312   73/128          128      1
446  0.571777  143/250          250      1
447  0.578613   92/159          159      3
448  0.579102  139/240          240      1
449  0.579590  142/245          245      1
450  0.581543   82/141          141      1
451  0.583008  144/247          247      1
452  0.585938   75/128          128      1
453  0.588379  143/243          243      1
454  0.589355  122/207          207      1
455  0.592773  115/194          194      2
456  0.593262  124/209          209      1
457  0.598145   64/107          107      1
458  0.598633   88/147          147      2
459  0.599609      3/5            5      1
460  0.601562   77/128          128      1
461  0.602051    59/98           98      1
462  0.603027  120/199          199      1
463  0.604004  151/250          250      1
464  0.604492   81/134          134      1
465  0.607910  138/227          227      1
466  0.608398   87/143          143      1
467  0.608887  137/225          225      1
468  0.609375    39/64           64      1
469  0.609863  136/223          223      1
470  0.611328  151/247          247      2
471  0.612305  139/227          227      4
472  0.612793  144/235          235      1
473  0.613281  111/181          181      1
474  0.614258    43/70           70      1
475  0.614746   75/122          122      1
476  0.615723  141/229          229      1
477  0.616211  114/185          185      1
478  0.616699    37/60           60      2
479  0.617676    21/34           34      1
480  0.618164    34/55           55      1
481  0.618652   73/118          118      1
482  0.620117  111/179          179      1
483  0.620605  157/253          253      1
484  0.621094  100/161          161      1
485  0.623535    53/85           85      1
486  0.624023   78/125          125      1
487  0.624512  158/253          253      2
488  0.625000      5/8            8      1
489  0.627441    32/51           51      2
490  0.628906  100/159          159      2
491  0.629883   97/154          154      1
492  0.630371  133/211          211      1
493  0.630859   94/149          149      2
494  0.631348  149/236          236      1
495  0.635742   96/151          151      2
496  0.636719  156/245          245      1
497  0.637207  137/215          215      1
498  0.638184  127/199          199      1
499  0.639648   71/111          111      1
500  0.640137  153/239          239      2
501  0.644043    38/59           59      1
502  0.644531  136/211          211      3
503  0.645508  122/189          189      1
504  0.648438   83/128          128      3
505  0.649902    13/20           20      1
506  0.650879  110/169          169      1
507  0.651855   88/135          135      1
508  0.652344  152/233          233      2
509  0.654297    53/81           81      1
510  0.655273  154/235          235      1
511  0.655762    40/61           61      1
512  0.657227  163/248          248      1
513  0.658691  110/167          167      1
514  0.663086  124/187          187      1
515  0.666504      2/3            3      1
516  0.666992      2/3            3      1
517  0.667480  169/253          253      2
518  0.667969  169/253          253      2
519  0.668945   97/145          145      1
520  0.669922   69/103          103      1
521  0.670898    53/79           79      1
522  0.671387  143/213          213      1
523  0.672363  158/235          235      2
524  0.678223  137/202          202      1
525  0.678711  169/249          249      1
526  0.679199  163/240          240      2
527  0.683105   97/142          142      1
528  0.684082  171/250          250      1
529  0.685547  109/159          159      1
530  0.687988   86/125          125      1
531  0.688477  137/199          199      1
532  0.691406  121/175          175      3
533  0.692871   97/140          140      1
534  0.695801  167/240          240      1
535  0.697266   76/109          109      2
536  0.697754  157/225          225      1
537  0.703125    45/64           64      1
538  0.703613  178/253          253      2
539  0.705078  153/217          217      1
540  0.705566  127/180          180      1
541  0.706055  173/245          245      2
542  0.707031  111/157          157      1
543  0.707520  179/253          253      1
544  0.708984  134/189          189      3
545  0.716309  101/141          141      2
546  0.717773  117/163          163      1
547  0.718262  181/252          252      1
548  0.718750    23/32           32      1
549  0.721191  119/165          165      1
550  0.722656   99/137          137      1
551  0.725098  182/251          251      2
552  0.725586  156/215          215      1
553  0.727539  179/246          246      1
554  0.728027  174/239          239      2
555  0.730957  144/197          197      2
556  0.732910  118/161          161      1
557  0.733398    11/15           15      1
558  0.733887   91/124          124      1
559  0.734375    47/64           64      1
560  0.735840    39/53           53      1
561  0.737305   87/118          118      1
562  0.738281  110/149          149      1
563  0.738770  181/245          245      1
564  0.741211  169/228          228      1
565  0.741699  112/151          151      1
566  0.742676  127/171          171      1
567  0.743164  136/183          183      1
568  0.743652  177/238          238      1
569  0.745605   85/114          114      1
570  0.746582  109/146          146      2
571  0.747070  127/170          170      3
572  0.747559   77/103          103      1
573  0.748047   95/127          127      1
574  0.749023  191/255          255      2
575  0.750488      3/4            4      1
576  0.752441  155/206          206      1
577  0.753418    55/73           73      1
578  0.753906  144/191          191      1
579  0.754395    43/57           57      3
580  0.756836  193/255          255      2
581  0.757324  181/239          239      1
582  0.757812   97/128          128      1
583  0.758301  160/211          211      2
584  0.759766  136/179          179      1
585  0.760742  124/163          163      1
586  0.761230  169/222          222      1
587  0.763184    29/38           38      2
588  0.764160   81/106          106      1
589  0.765137  101/132          132      3
590  0.767090  191/249          249      1
